district,price,surface,rooms_num,floor_no,building_floors_num,construction_status,market,build_year,transit_dur_m
3,609000.0,36.42,2.0,3.0,5.0,0,1,1953.0,34.38333333333333
16,840000.0,56.1,3.0,1.0,3.0,0,1,1969.0,18.65
1,911516.0,67.37,4.0,3.0,3.0,1,0,2026.0,48.25
13,1062100.0,38.0,2.0,0.0,6.0,2,1,2021.0,31.45
4,490000.0,39.0,2.0,4.0,4.0,0,1,1969.0,46.733333333333334
1,535000.0,34.0,1.0,0.0,3.0,2,1,2003.0,43.5
0,779000.0,43.0,2.0,2.0,5.0,1,0,2025.0,57.65
14,1040022.0,70.51,3.0,2.0,6.0,1,0,2025.0,41.11666666666667
9,620033.0,42.92,2.0,1.0,8.0,1,0,2026.0,58.86666666666667
6,529000.0,32.23,1.0,0.0,2.0,2,1,1936.0,30.533333333333335
8,699000.0,58.4,3.0,3.0,3.0,2,1,1995.0,38.15
13,880000.0,54.14,3.0,8.0,10.0,2,1,1970.0,37.2
13,435000.0,27.54,1.0,0.0,2.0,2,1,1950.0,43.5
1,580897.0,38.4,2.0,1.0,3.0,1,0,2026.0,69.83333333333333
15,749180.0,36.58,2.0,3.0,10.0,2,1,1963.0,16.966666666666665
6,480000.0,20.0,1.0,0.0,3.0,2,1,2025.0,35.2
10,1259000.0,84.6,3.0,3.0,4.0,2,1,1999.0,59.416666666666664
9,599000.0,44.0,2.0,1.0,8.0,2,1,2000.0,58.6
15,749180.0,36.58,2.0,3.0,10.0,2,1,1963.0,16.966666666666665
7,686646.0,24.89,1.0,1.0,8.0,1,0,2025.0,22.25
14,779000.0,63.63,3.0,1.0,1.0,2,1,2002.0,64.85
12,990000.0,64.0,2.0,1.0,4.0,2,1,2007.0,79.11666666666666
5,1030000.0,54.68,3.0,10.0,17.0,2,1,2018.0,45.5
1,620789.0,38.57,2.0,1.0,5.0,1,0,2026.0,54.56666666666667
16,1075000.0,38.37,2.0,0.0,4.0,1,0,2026.0,18.65
6,450000.0,32.2,1.0,4.0,4.0,0,1,1960.0,28.25
1,523940.0,39.1,2.0,3.0,4.0,2,1,1999.0,76.35
13,695000.0,30.4,2.0,6.0,6.0,1,1,1914.0,27.3
15,1275000.0,44.0,2.0,0.0,6.0,2,1,2020.0,35.083333333333336
15,755000.0,33.0,2.0,3.0,8.0,2,1,1957.0,28.166666666666668
14,1140000.0,61.75,3.0,1.0,4.0,2,1,2024.0,48.61666666666667
10,845000.0,54.6,2.0,1.0,8.0,2,1,2002.0,54.36666666666667
1,565000.0,37.3,2.0,0.0,2.0,2,1,2020.0,58.63333333333333
4,815000.0,56.1,3.0,4.0,4.0,2,1,1976.0,46.733333333333334
3,785126.0,36.69,2.0,2.0,5.0,1,0,2025.0,54.266666666666666
13,782000.0,31.01,2.0,7.0,9.0,1,0,2025.0,32.083333333333336
0,999900.0,55.58,3.0,2.0,6.0,1,1,2023.0,54.55
1,750000.0,54.62,3.0,1.0,4.0,1,1,2025.0,74.91666666666667
14,1799000.0,100.0,5.0,2.0,5.0,2,1,2025.0,55.31666666666667
3,1399000.0,74.5,3.0,3.0,12.0,2,1,2010.0,48.266666666666666
6,1450000.0,79.6,3.0,3.0,7.0,2,1,2009.0,39.93333333333333
3,550000.0,37.7,2.0,0.0,10.0,2,1,1974.0,66.45
10,690000.0,32.0,2.0,9.0,10.0,2,1,2012.0,59.2
5,699000.0,52.32,2.0,2.0,3.0,2,1,1957.0,44.43333333333333
12,1450000.0,75.6,3.0,1.0,5.0,2,1,2009.0,62.18333333333333
1,620789.0,38.57,2.0,1.0,5.0,1,0,2026.0,54.56666666666667
1,566730.0,41.98,2.0,3.0,3.0,1,0,2025.0,44.06666666666667
7,746924.0,39.73,2.0,0.0,6.0,1,0,2025.0,21.833333333333332
10,950000.0,57.0,3.0,10.0,15.0,2,1,1988.0,61.85
3,1300000.0,34.04,1.0,0.0,3.0,2,1,2022.0,58.56666666666667
2,1220842.0,62.93,3.0,4.0,5.0,1,0,2025.0,53.2
4,539860.0,25.0,1.0,7.0,10.0,2,1,1970.0,37.03333333333333
0,805000.0,45.22,2.0,2.0,5.0,2,1,2018.0,51.11666666666667
3,999999.0,61.68,3.0,1.0,3.0,2,1,2015.0,63.65
1,590000.0,40.41,2.0,1.0,2.0,2,1,2009.0,50.15
13,1569000.0,80.57,4.0,1.0,6.0,1,0,2026.0,36.583333333333336
14,999974.0,56.14,3.0,2.0,7.0,1,0,2026.0,51.483333333333334
7,867361.0,41.67,2.0,6.0,8.0,1,0,2025.0,22.25
1,716924.0,64.48,3.0,2.0,2.0,1,0,2023.0,75.55
9,599151.0,37.97,2.0,0.0,7.0,1,0,2027.0,67.2
7,1548887.0,86.53,4.0,2.0,5.0,1,0,2027.0,26.15
7,1450460.0,69.4,4.0,5.0,6.0,1,0,2025.0,19.233333333333334
13,695000.0,44.0,2.0,6.0,7.0,2,1,1958.0,38.53333333333333
3,870000.0,44.7,1.0,1.0,4.0,2,1,1939.0,34.38333333333333
13,755000.0,48.36,2.0,4.0,4.0,0,1,1953.0,31.733333333333334
13,520000.0,20.9,1.0,4.0,10.0,2,1,2019.0,34.53333333333333
4,1590000.0,70.0,3.0,0.0,3.0,0,1,1928.0,30.533333333333335
13,1643331.0,78.5,3.0,1.0,6.0,2,1,2008.0,31.766666666666666
0,964000.0,53.85,3.0,4.0,4.0,1,1,2025.0,57.56666666666667
2,750000.0,38.1,2.0,0.0,7.0,2,1,2016.0,42.03333333333333
15,1090000.0,53.0,2.0,1.0,4.0,2,1,1955.0,22.2
